Time (UTC), Frequency (MHz),Level (dB/Hz)
1433497355.0, 87.447265625, -48.9850781991
1433497355.0, 87.44921875, -48.9871549726
1433497355.0, 87.451171875, -48.9885287018
1433497355.0, 87.453125, -48.9902927252
1433497355.0, 87.455078125, -48.9924222531
1433497355.0, 87.45703125, -48.9954428913
1433497355.0, 87.458984375, -48.9984895119
1433497355.0, 87.4609375, -49.000906869
1433497355.0, 87.462890625, -49.0031257931
1433497355.0, 87.46484375, -49.0060308058
1433497355.0, 87.466796875, -49.0094503869
1433497355.0, 87.46875, -49.0127370905
1433497355.0, 87.470703125, -49.0161757844
1433497355.0, 87.47265625, -49.0195610428
1433497355.0, 87.474609375, -49.023791493
1433497355.0, 87.4765625, -49.0277923415
1433497355.0, 87.478515625, -49.031897185
1433497355.0, 87.48046875, -49.0363745792
1433497355.0, 87.482421875, -49.0412395629
1433497355.0, 87.484375, -49.046398434
1433497355.0, 87.486328125, -49.0511278744
1433497355.0, 87.48828125, -49.0559408537
1433497355.0, 87.490234375, -49.0610709263
1433497355.0, 87.4921875, -49.0664818303
1433497355.0, 87.494140625, -49.0717081636
1433497355.0, 87.49609375, -49.0771221134
1433497355.0, 87.498046875, -49.0821636899
1433497355.0, 87.5, -49.0879395703
1433497355.0, 87.501953125, -49.0930889815
1433497355.0, 87.50390625, -49.098608994
1433497355.0, 87.505859375, -49.1050669812
1433497355.0, 87.5078125, -49.1106584145
1433497355.0, 87.509765625, -49.1164621256
1433497355.0, 87.51171875, -49.1223019163
